# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged
IOPB-I,40.00,45.00,0.21861,5.48467,5.70328,5.53252,-7.4224,1
IOPB-I,40.00,66.25,0.26154,5.47517,5.73671,5.52310,-7.5230,1
IOPB-I,40.00,87.50,0.28559,5.47246,5.75805,5.52042,-7.5878,1
IOPB-I,40.00,108.75,0.30026,5.47285,5.77311,5.52081,-7.6375,1
IOPB-I,40.00,130.00,0.30943,5.47600,5.78543,5.52392,-7.6688,1
IOPB-I,43.00,45.00,0.23835,5.47993,5.71828,5.52782,-7.3218,1
IOPB-I,43.00,66.25,0.27694,5.47317,5.75011,5.52112,-7.4234,1
IOPB-I,43.00,87.50,0.30010,5.47084,5.77095,5.51882,-7.4915,1
IOPB-I,43.00,108.75,0.31493,5.47110,5.78603,5.51907,-7.5449,1
IOPB-I,43.00,130.00,0.32471,5.47284,5.79755,5.52080,-7.5863,1
