# model,J,L,skin_fm,r_p,r_n,r_ch,BE_per_A,converged,iterations
IOPB-I,35.50,87.50,0.22029,3.37846,3.59875,3.45790,-8.5636,1,42
IOPB-I,35.50,130.00,0.23019,3.37501,3.60520,3.45453,-8.6208,1,42
IOPB-I,35.50,108.75,0.22649,3.37619,3.60268,3.45568,-8.5965,1,42
IOPB-I,40.00,45.00,0.19864,3.39101,3.58966,3.47016,-8.3481,1,41
IOPB-I,40.00,66.25,0.22052,3.38247,3.60300,3.46182,-8.4287,1,41
IOPB-I,40.00,87.50,0.23178,3.37802,3.60980,3.45747,-8.4809,1,41
IOPB-I,40.00,108.75,0.23838,3.37541,3.61379,3.45492,-8.5179,1,42
IOPB-I,40.00,130.00,0.24254,3.37386,3.61640,3.45340,-8.5465,1,42
IOPB-I,43.00,45.00,0.20878,3.38988,3.59866,3.46906,-8.2928,1,41
IOPB-I,43.00,66.25,0.22850,3.38226,3.61076,3.46161,-8.3722,1,41
IOPB-I,43.00,87.50,0.23938,3.37792,3.61730,3.45737,-8.4261,1,41
IOPB-I,43.00,108.75,0.24602,3.37521,3.62123,3.45472,-8.4656,1,42
IOPB-I,43.00,130.00,0.25035,3.37349,3.62384,3.45304,-8.4967,1,42
