# M_DU read off the pipeline MRcurve_*_CAT.dat files (TOVprofile2 + NSCool HZD-NV crust)
# n_DU from rmf_lambda_and_eos.py; M_DU = M(rho_c = eps(n_DU)) on the stable branch; inf = no DUrca in stable stars
# in864: 1 if the EoS is in the 864 surviving set (from Data/cooling_chi2_by_eos.csv)
# model J L n_DU[fm-3] M_DU[Msun] Mmax[Msun] R1.4[km] in864
BigApple   35.5   65.0   0.3675   1.699  2.579  13.45 1
BigApple   35.5   70.0   0.3453   1.530  2.578  13.52 1
BigApple   35.5   75.0   0.3285   1.397  2.578  13.59 1
BigApple   35.5   80.0   0.3087   1.238  2.577  13.67 1
BigApple   35.5   85.0   0.2937   1.129  2.576  13.75 1
BigApple   35.5   90.0   0.2794   1.037  2.576  13.83 1
BigApple   35.5   95.0   0.2658   0.964  2.577  13.92 1
BigApple   37.0  100.0   0.2466   0.845  2.575  13.98 1
BigApple   37.0  105.0   0.2376   0.824  2.578  14.08 1
BigApple   37.0  110.0   0.2317   0.826  2.587  14.20 1
BigApple   37.0  115.0   0.2232   0.817  2.606  14.32 1
BigApple   37.0   40.0   0.4431   2.136  2.580  13.00 1
BigApple   37.0   45.0   0.4215   2.031  2.580  13.08 1
BigApple   37.0   50.0   0.4010   1.914  2.579  13.15 1
BigApple   37.0   55.0   0.3815   1.788  2.578  13.22 1
BigApple   37.0   60.0   0.3630   1.653  2.577  13.37 1
BigApple   37.0   65.0   0.3453   1.515  2.576  13.44 1
BigApple   37.0   70.0   0.3245   1.343  2.576  13.51 1
BigApple   37.0   75.0   0.3087   1.214  2.575  13.58 1
BigApple   37.0   80.0   0.2937   1.098  2.574  13.65 1
BigApple   37.0   85.0   0.2794   0.998  2.573  13.73 1
BigApple   37.0   90.0   0.2691   0.941  2.573  13.81 1
BigApple   37.0   95.0   0.2560   0.875  2.573  13.85 1
BigApple   38.5  100.0   0.2376   0.770  2.571  13.95 1
BigApple   38.5  105.0   0.2289   0.751  2.573  14.00 1
BigApple   38.5  110.0   0.2232   0.753  2.577  14.09 1
BigApple   38.5  115.0   0.2177   0.759  2.587  14.26 1
BigApple   38.5  120.0   0.2124   0.766  2.608  14.38 1
BigApple   38.5   35.0   0.4268   2.052  2.578  12.90 0
BigApple   38.5   40.0   0.4061   1.937  2.577  12.98 1
BigApple   38.5   45.0   0.3912   1.844  2.577  13.06 1
BigApple   38.5   50.0   0.3721   1.711  2.576  13.13 1
BigApple   38.5   55.0   0.3540   1.571  2.575  13.20 1
BigApple   38.5   60.0   0.3368   1.430  2.574  13.35 1
BigApple   38.5   65.0   0.3204   1.290  2.574  13.43 1
BigApple   38.5   70.0   0.3048   1.159  2.573  13.49 1
BigApple   38.5   75.0   0.2900   1.040  2.572  13.56 1
BigApple   38.5   80.0   0.2794   0.966  2.571  13.63 1
BigApple   38.5   85.0   0.2658   0.880  2.571  13.71 1
BigApple   38.5   90.0   0.2560   0.832  2.570  13.78 1
BigApple   38.5   95.0   0.2466   0.796  2.570  13.86 1
BigApple   40.0  100.0   0.2260   0.689  2.568  13.92 1
BigApple   40.0  105.0   0.2205   0.689  2.569  14.00 1
BigApple   40.0  110.0   0.2150   0.691  2.572  14.10 1
BigApple   40.0  115.0   0.2097   0.695  2.577  14.16 1
BigApple   40.0  120.0   0.2071   0.714  2.587  14.27 1
BigApple   40.0  125.0   0.2020   0.721  2.609  14.38 1
BigApple   40.0   35.0   0.3912   1.836  2.575  12.89 0
BigApple   40.0   40.0   0.3768   1.736  2.575  12.99 1
BigApple   40.0   45.0   0.3630   1.631  2.574  13.04 1
BigApple   40.0   50.0   0.3453   1.487  2.573  13.11 1
BigApple   40.0   55.0   0.3285   1.342  2.572  13.17 1
BigApple   40.0   60.0   0.3165   1.238  2.572  13.34 1
BigApple   40.0   65.0   0.3011   1.105  2.571  13.41 1
BigApple   40.0   70.0   0.2864   0.986  2.570  13.48 1
BigApple   40.0   75.0   0.2725   0.884  2.569  13.55 1
BigApple   40.0   80.0   0.2625   0.823  2.569  13.62 1
BigApple   40.0   85.0   0.2497   0.754  2.568  13.69 1
BigApple   40.0   90.0   0.2406   0.719  2.567  13.76 1
BigApple   40.0   95.0   0.2346   0.709  2.567  13.84 1
BigApple   41.5  100.0   0.2150   0.621  2.565  13.89 1
BigApple   41.5  105.0   0.2097   0.623  2.565  13.97 1
BigApple   41.5  110.0   0.2071   0.637  2.567  14.06 1
BigApple   41.5  115.0   0.2020   0.642  2.570  14.15 1
BigApple   41.5  120.0   0.1995   0.658  2.577  14.25 1
BigApple   41.5  125.0   0.1971   0.675  2.588  14.33 1
BigApple   41.5  130.0   0.1922   0.681  2.611  14.45 1
BigApple   41.5   35.0   0.3630   1.621  2.573  12.88 0
BigApple   41.5   40.0   0.3497   1.512  2.572  12.95 0
BigApple   41.5   45.0   0.3326   1.364  2.571  13.02 1
BigApple   41.5   50.0   0.3204   1.255  2.570  13.08 1
BigApple   41.5   55.0   0.3048   1.114  2.570  13.15 1
BigApple   41.5   60.0   0.2900   0.985  2.569  13.22 1
BigApple   41.5   65.0   0.2759   0.874  2.568  13.40 1
BigApple   41.5   70.0   0.2658   0.805  2.567  13.47 1
BigApple   41.5   75.0   0.2529   0.725  2.567  13.53 1
BigApple   41.5   80.0   0.2436   0.682  2.566  13.60 1
BigApple   41.5   85.0   0.2346   0.650  2.565  13.67 1
BigApple   41.5   90.0   0.2260   0.626  2.565  13.74 1
BigApple   41.5   95.0   0.2205   0.622  2.565  13.81 1
BigApple   43.0  100.0   0.2020   0.553  2.562  13.86 1
BigApple   43.0  105.0   0.1995   0.567  2.562  13.94 1
BigApple   43.0  110.0   0.1971   0.581  2.564  14.02 1
BigApple   43.0  115.0   0.1922   0.586  2.566  14.11 1
BigApple   43.0  120.0   0.1898   0.601  2.570  14.20 1
BigApple   43.0  125.0   0.1875   0.615  2.576  14.30 1
BigApple   43.0  130.0   0.1875   0.641  2.589  14.41 1
BigApple   43.0   35.0   0.3326   1.350  2.570  12.87 0
BigApple   43.0   40.0   0.3204   1.239  2.569  12.93 0
BigApple   43.0   45.0   0.3048   1.095  2.568  13.05 1
BigApple   43.0   50.0   0.2937   0.995  2.568  13.13 1
BigApple   43.0   55.0   0.2794   0.871  2.567  13.13 1
BigApple   43.0   60.0   0.2658   0.766  2.566  13.19 1
BigApple   43.0   65.0   0.2529   0.683  2.565  13.39 1
BigApple   43.0   70.0   0.2406   0.616  2.565  13.45 1
BigApple   43.0   75.0   0.2317   0.582  2.564  13.52 1
BigApple   43.0   80.0   0.2232   0.557  2.563  13.58 1
BigApple   43.0   85.0   0.2177   0.552  2.563  13.65 1
BigApple   43.0   90.0   0.2124   0.550  2.562  13.72 1
BigApple   43.0   95.0   0.2071   0.551  2.562  13.79 1
FSUGarnet  25.0   55.0   0.8368   2.083  2.087  13.19 1
FSUGarnet  25.0   60.0   0.7480   2.063  2.087  13.29 1
FSUGarnet  25.0   65.0   0.6440   2.009  2.088  13.39 1
FSUGarnet  25.0   70.0   0.5409   1.897  2.091  13.49 1
FSUGarnet  25.0   75.0   0.4487   1.722  2.100  13.62 1
FSUGarnet  25.0   80.0   0.3675   1.507  2.150  13.82 1
FSUGarnet  26.5   55.0   0.7205   2.047  2.084  13.15 1
FSUGarnet  26.5   60.0   0.6521   2.008  2.084  13.25 1
FSUGarnet  26.5   65.0   0.5829   1.943  2.084  13.35 1
FSUGarnet  26.5   70.0   0.5146   1.844  2.086  13.42 1
FSUGarnet  26.5   75.0   0.4487   1.704  2.091  13.54 1
FSUGarnet  26.5   80.0   0.3863   1.529  2.104  13.68 1
FSUGarnet  26.5   85.0   0.3326   1.363  2.159  13.87 1
FSUGarnet  28.0   50.0   0.6855   2.025  2.080  13.03 0
FSUGarnet  28.0   55.0   0.6361   1.989  2.080  13.12 1
FSUGarnet  28.0   60.0   0.5902   1.944  2.080  13.22 1
FSUGarnet  28.0   65.0   0.5342   1.867  2.081  13.29 1
FSUGarnet  28.0   70.0   0.4835   1.771  2.082  13.39 1
FSUGarnet  28.0   75.0   0.4322   1.644  2.085  13.50 1
FSUGarnet  28.0   80.0   0.3863   1.504  2.092  13.62 1
FSUGarnet  28.0   85.0   0.3453   1.369  2.108  13.77 1
FSUGarnet  28.0   90.0   0.3087   1.254  2.165  13.84 1
FSUGarnet  29.5   50.0   0.6127   1.962  2.077  12.99 1
FSUGarnet  29.5   55.0   0.5757   1.920  2.077  13.09 1
FSUGarnet  29.5   60.0   0.5342   1.859  2.077  13.18 1
FSUGarnet  29.5   65.0   0.4896   1.773  2.078  13.27 1
FSUGarnet  29.5   70.0   0.4543   1.690  2.079  13.37 1
FSUGarnet  29.5   75.0   0.4112   1.564  2.081  13.47 1
FSUGarnet  29.5   80.0   0.3768   1.450  2.085  13.57 1
FSUGarnet  29.5   85.0   0.3410   1.320  2.093  13.70 1
FSUGarnet  29.5   90.0   0.3125   1.223  2.113  13.75 1
FSUGarnet  29.5   95.0   0.2864   1.148  2.169  14.04 1
FSUGarnet  31.0  100.0   0.2691   1.064  2.171  14.11 1
FSUGarnet  31.0   50.0   0.5546   1.884  2.073  12.96 1
FSUGarnet  31.0   55.0   0.5210   1.828  2.073  13.05 1
FSUGarnet  31.0   60.0   0.4896   1.764  2.074  13.14 1
FSUGarnet  31.0   65.0   0.4543   1.678  2.074  13.25 1
FSUGarnet  31.0   70.0   0.4215   1.582  2.075  13.34 1
FSUGarnet  31.0   75.0   0.3912   1.480  2.077  13.44 1
FSUGarnet  31.0   80.0   0.3585   1.358  2.080  13.54 1
FSUGarnet  31.0   85.0   0.3326   1.259  2.085  13.65 1
FSUGarnet  31.0   90.0   0.3087   1.172  2.096  13.78 1
FSUGarnet  31.0   95.0   0.2864   1.100  2.117  13.93 1
FSUGarnet  32.5  100.0   0.2658   1.002  2.121  14.00 1
FSUGarnet  32.5  105.0   0.2529   0.984  2.173  14.18 1
FSUGarnet  32.5   50.0   0.5019   1.782  2.070  12.93 1
FSUGarnet  32.5   55.0   0.4775   1.727  2.070  13.02 1
FSUGarnet  32.5   60.0   0.4487   1.651  2.071  13.13 1
FSUGarnet  32.5   65.0   0.4215   1.568  2.071  13.23 1
FSUGarnet  32.5   70.0   0.3961   1.481  2.072  13.32 1
FSUGarnet  32.5   75.0   0.3675   1.372  2.073  13.41 1
FSUGarnet  32.5   80.0   0.3453   1.284  2.076  13.51 1
FSUGarnet  32.5   85.0   0.3204   1.182  2.080  13.61 1
FSUGarnet  32.5   90.0   0.3011   1.110  2.087  13.73 1
FSUGarnet  32.5   95.0   0.2829   1.050  2.098  13.86 1
FSUGarnet  34.0  100.0   0.2625   0.954  2.101  13.93 1
FSUGarnet  34.0  105.0   0.2497   0.928  2.125  14.08 1
FSUGarnet  34.0  110.0   0.2406   0.927  2.174  14.25 1
FSUGarnet  34.0   50.0   0.4600   1.672  2.067  12.90 1
FSUGarnet  34.0   55.0   0.4376   1.607  2.067  12.99 1
FSUGarnet  34.0   60.0   0.4163   1.538  2.068  13.11 1
FSUGarnet  34.0   65.0   0.3912   1.447  2.068  13.21 1
FSUGarnet  34.0   70.0   0.3675   1.353  2.069  13.30 1
FSUGarnet  34.0   75.0   0.3453   1.260  2.070  13.39 1
FSUGarnet  34.0   80.0   0.3245   1.170  2.072  13.48 1
FSUGarnet  34.0   85.0   0.3087   1.107  2.075  13.58 1
FSUGarnet  34.0   90.0   0.2900   1.033  2.080  13.68 1
FSUGarnet  34.0   95.0   0.2759   0.989  2.088  13.80 1
FSUGarnet  35.5  100.0   0.2529   0.880  2.090  13.87 1
FSUGarnet  35.5  105.0   0.2436   0.867  2.104  14.00 1
FSUGarnet  35.5  110.0   0.2346   0.860  2.128  14.15 1
FSUGarnet  35.5   50.0   0.4268   1.562  2.064  12.87 1
FSUGarnet  35.5   55.0   0.4061   1.489  2.064  12.96 1
FSUGarnet  35.5   60.0   0.3815   1.393  2.065  13.05 1
FSUGarnet  35.5   65.0   0.3630   1.316  2.065  13.19 1
FSUGarnet  35.5   70.0   0.3453   1.240  2.066  13.28 1
FSUGarnet  35.5   75.0   0.3245   1.145  2.067  13.37 1
FSUGarnet  35.5   80.0   0.3087   1.076  2.069  13.46 1
FSUGarnet  35.5   85.0   0.2937   1.014  2.071  13.55 1
FSUGarnet  35.5   90.0   0.2794   0.960  2.075  13.60 1
FSUGarnet  35.5   95.0   0.2658   0.916  2.081  13.75 1
FSUGarnet  37.0  100.0   0.2436   0.813  2.082  13.77 1
FSUGarnet  37.0  105.0   0.2346   0.799  2.091  13.94 1
