# model J L Ksym S(2n0) S(3n0) xp(2n0) xp(3n0) n_DU M_DU Mmax R14   (Ksym,S in MeV; n in fm-3; M in Msun; M_DU/Mmax/R14 from pipeline MR curves)
BigApple   32.5   65.0    -45.2  54.15  67.18 0.1150 0.1402  0.4215   2.053  2.586  13.48
BigApple   32.5   70.0    -48.9  55.18  68.33 0.1184 0.1432  0.3912   1.882  2.585  13.55
BigApple   32.5   75.0    -45.7  56.39  69.79 0.1223 0.1470  0.3630   1.694  2.584  13.63
BigApple   32.5   80.0    -35.6  57.83  71.66 0.1268 0.1517  0.3368   1.501  2.583  13.71
BigApple   32.5   85.0    -18.6  59.58  74.19 0.1323 0.1580  0.3165   1.351  2.583  13.80
BigApple   32.5   90.0      5.3  61.74  77.77 0.1388 0.1666  0.2973   1.221  2.584  13.89
BigApple   32.5   95.0     36.1  64.48  83.24 0.1469 0.1791  0.2794   1.117  2.588  14.01
BigApple   32.5  100.0     73.7  68.08  92.63 0.1572 0.1988  0.2658   1.065  2.601  14.14
BigApple   34.0   40.0     58.9  51.84  64.63 0.1075 0.1334  0.5276   2.413  2.587  13.03
BigApple   34.0   45.0     22.9  52.40  65.13 0.1093 0.1348  0.5019   2.351  2.586  13.12
BigApple   34.0   50.0     -6.9  53.01  65.72 0.1114 0.1364  0.4716   2.259  2.585  13.20
BigApple   34.0   55.0    -30.4  53.70  66.39 0.1137 0.1381  0.4431   2.148  2.584  13.31
BigApple   34.0   60.0    -47.7  54.47  67.17 0.1163 0.1402  0.4163   2.018  2.583  13.39
BigApple   34.0   65.0    -58.8  55.35  68.10 0.1192 0.1426  0.3912   1.871  2.582  13.46
BigApple   34.0   70.0    -63.6  56.36  69.22 0.1225 0.1455  0.3675   1.712  2.581  13.54
BigApple   34.0   75.0    -62.1  57.52  70.58 0.1262 0.1491  0.3453   1.547  2.581  13.61
BigApple   34.0   80.0    -54.4  58.87  72.29 0.1304 0.1534  0.3245   1.385  2.580  13.69
